Achtelky	achtelky
Brno, Kamenný vrch	brno kamenný vrch; brna kamenného vrchu; brna kamennýho vrchu; brnu kamennému vrchu; brnu kamennýmu vrchu; brno kamennej vrch; brnu kamennym vrchu; brnu kamenným vrchu; brnu kamenném vrchu; brně kamennym vrchu; brně kamenným vrchu; brně kamenném vrchu
Brno, Kamenolom	brno kamenolom; brna kamenolomu; brnu kamenolomu; brně kamenolomu
Brno, Kampelíkova	brno kampelíkova; brna kampelíkovy; brnu kampelíkově; brno kampelíkovu; brně kampelíkově
Brno, Karlova	brno karlova; brna karlovy; brnu karlově; brno karlovu; brně karlově
Brno, Karolíny Světlé	brno karolíny světlé; brna karolín světlé; brnu karolínám světlé; brnu karolínách světlé; brně karolínách světlé
Brno, Kartouzská	brno kartouzská; brna kartouzské; brna kartouzský; brnu kartouzské; brnu kartouzský; brno kartouzskou; brně kartouzské; brně kartouzský
Brno, Kavčí	brno kavčí; brna kavčího; brnu kavčímu; brnu kavčim; brnu kavčím; brně kavčim; brně kavčím
Brno, Kejbaly	brno kejbaly; brna kejbaly; brnu kejbaly; brně kejbaly
Brno, Klarisky	brno klarisky; brna klarisek; brnu klariskám; brnu klariskách; brně klariskách
Brno, Kleštínek	brno kleštínek; brna kleštínek; brnu kleštínek; brně kleštínek
Brno, Klicperova	brno klicperova; brna klicperovy; brnu klicperově; brno klicperovu; brně klicperově
Brno, Kluchova	brno kluchova; brna kluchovy; brnu kluchově; brno kluchovu; brně kluchově
Brno, Klusáčkova	brno klusáčkova; brna klusáčkovy; brnu klusáčkově; brno klusáčkovu; brně klusáčkově
Brno, Kociánka	brno kociánka; brna kociánky; brnu kociánce; brno kociánku; brně kociánce
Brno, Kohoutovice, hájenka	brno kohoutovice hájenka; brna kohoutovic hájenky; brnu kohoutovicům hájence; brnu kohoutovicím hájence; brno kohoutovice hájenku; brnu kohoutovicích hájence; brně kohoutovicích hájence
Brno, Kohoutovická	brno kohoutovická; brna kohoutovický; brna kohoutovické; brnu kohoutovický; brnu kohoutovické; brno kohoutovickou; brně kohoutovický; brně kohoutovické
